,UserId,Username,Ispro,HasStats,Contacts,PhotoCount,MeanViews,GroupsCount,GroupsAvgMembers,GroupsAvgPictures
0,32011055@N05,HC.W.,1,1,212,2193,106.411764706,74,14777.810810799998,499312.891892
1,147723055@N04,Professional Accountants,0,0,0,1700,5.07882352941,0,0.0,0.0
2,59947702@N04,erwin.sutter,0,0,17,366,71.5136612022,14,67388.9285714,759056.928571
3,85799273@N04,splatdoctor,0,0,43,3846,9.838533541339999,2,175.0,1219.5
4,53351763@N06,kufarooq,0,0,5,1861,30.9134873724,7,97654.14285710001,1008147.0
5,26069779@N08,rowanC82,0,1,339,6687,395.16016150699994,138,16451.1086957,399139.507246
6,61467889@N07,Adam Hardin,0,0,2,570,13.301754385999999,0,0.0,0.0
7,147542604@N05,bluejayphoenix7,0,0,33,1603,18.1709295072,12,790.416666667,17077.0833333
8,136558463@N05,bstbk3,0,0,1,11350,47.7869,0,0.0,0.0
9,37171654@N03,Usagi93190,0,0,49,1835,10.0239782016,56,16525.2857143,207389.589286
10,86989629@N00,LaughingStarfish/dstroy,0,1,414,53710,16.7774,100,2668.48,56480.2
11,90454979@N00,bartb_pt,0,1,53,1516,256.996042216,20,48478.8,1239294.6
12,144372606@N07,samuelayanlola@rocketmail.com,0,0,0,58,3.53448275862,0,0.0,0.0
13,155165865@N06,achievementtravel,0,0,0,354,85.0621468927,0,0.0,0.0
14,70350737@N02,BCDodge_me,0,0,22,296,26.0844594595,0,0.0,0.0
15,37050262@N03,teresatudomir,0,1,230,2436,134.551313629,339,9064.36578171,247411.94690300003
16,155625374@N07,m5-kiitten,0,0,1,4,0.25,0,0.0,0.0
17,144894351@N05,janinevetter1,0,0,7,99,30.565656565700003,0,0.0,0.0
18,151923730@N05,kevinpoppe1,0,0,5,12,1.5,0,0.0,0.0
19,146766089@N08,tagzaty,0,0,4,6150,18.6801626016,0,0.0,0.0
20,52777554@N07,Eric Song-Photo,0,1,208,5626,109.67241379299999,4,23898.25,319871.75
21,148618657@N03,zoubaida69,0,0,8,961,3.20291363163,0,0.0,0.0
22,146563882@N05,Argon Lamp,0,0,1,1326,18.4479638009,0,0.0,0.0
23,150252050@N05,danielsotarierr,0,0,112,168,90.1607142857,4,572.75,14838.25
